hip,hd,cons,ra_h,ra_m,ra_s,dec_sign,dec_deg,dec_m,dec_s,mag,bayer,flam,gould,name,is_comon,is_double,is_var,var_name,max_mag,min_mag
677,358,And,0,8,23.17,,29,5,27,2.07,α,21,,Alpheratz,1,,,,,
5447,6860,And,1,9,43.8,,35,37,15,2.07,β,43,,Mirach,1,,,,,
9640,12533,And,2,3,53.92,,42,19,47.5,2.1,γ1,57,,Almach,1,,,,,
3092,3627,And,0,39,19.6,,30,51,40.4,3.27,δ,31,,Saderazra,,,,,,
7607,9927,And,1,37,59.5,,48,37,42.6,3.59,θ2,51,,Nembus,,,,,,
113726,217675,And,23,1,55.25,,42,19,33.5,3.62,ο,1,,,,,,,,
116584,222107,And,23,37,33.71,,46,27,33,3.81,λ,16,,,,,,,,
4436,5448,And,0,56,45.1,,38,29,57.3,3.86,μ,37,3,,,,,,,
3693,4502,And,0,47,20.39,,24,16,2.6,4.08,ζ,34,,Kui Suer,,,,,,
7513,9826,And,1,36,47.98,,41,24,23,4.1,υ,50,,Adhab,,,,,,
116805,222439,And,23,40,24.44,,44,20,2.3,4.15,κ,19,,,,,,,,
5434,6811,And,1,9,30.12,,47,14,30.6,4.26,φ,42,4,Keun Nan Mun I,,,,,,
116631,222173,And,23,38,8.18,,43,16,5.1,4.29,ι,17,,Manus Catenta,,,,,,
2912,3369,And,0,36,52.84,,33,43,9.7,4.34,π,29,,,,,,,,
3031,3546,And,0,38,33.5,,29,18,44.5,4.34,ε,30,,,,,,,,
4463,5516,And,0,57,12.43,,23,25,3.9,4.4,η,38,30,,,,,,,
1473,1404,And,0,18,19.71,,36,47,7.2,4.51,σ,25,,,,,,,,
3881,4727,And,0,49,48.83,,41,4,44.2,4.53,ν,35,,,,,,,,
114570,219080,And,23,12,32.92,,49,24,21.5,4.53,κ1,7,,,,,,,,
1366,1280,And,0,17,5.54,,38,40,54,4.61,θ,24,61,Tien Ke,,,,,,
113919,218031,And,23,4,10.83,,50,3,6.1,4.64,μ,3,44,Salm,,,,,,
11313,14872,And,2,25,37.4,,50,16,43.2,4.73,c1,65,,,,,,,,
9977,13041,And,2,8,29.15,,37,51,33.1,4.78,τ,58,,,,,,,,
115022,219734,And,23,17,44.62,,49,0,55,4.82,,8,,,,,,,,
6813,8799,And,1,27,39.09,,45,24,25,4.83,ω,48,11,,,,,,,
17531,12534,And,2,3,54.7,,42,19,51,4.84,γ2,57,,,,,,,,
10340,13520,And,2,13,13.34,,44,13,54.1,4.84,b,60,,,,,,,,
